year month average
1 1979 1 336.56
2 1979 2 337.29
3 1979 3 337.88
4 1979 4 338.32
5 1979 5 338.26
6 1979 6 337.38
7 1979 7 335.56
8 1979 8 334.36
9 1979 9 335.02
10 1979 10 336.36
11 1979 11 337.36
12 1979 12 337.85
13 1980 1 338.55
14 1980 2 339.26
15 1980 3 339.59
16 1980 4 339.99
17 1980 5 340.44
18 1980 6 339.99
19 1980 7 338.44
20 1980 8 337.21
21 1980 9 337.05
22 1980 10 337.83
23 1980 11 338.93
24 1980 12 339.64
25 1981 1 340.18
26 1981 2 340.75
27 1981 3 341.38
28 1981 4 341.68
29 1981 5 341.43
30 1981 6 340.63
31 1981 7 339.22
32 1981 8 338.08
33 1981 9 337.98
34 1981 10 339.07
35 1981 11 340.18
36 1981 12 340.75
37 1982 1 341.37
38 1982 2 341.95
39 1982 3 342.23
40 1982 4 342.52
41 1982 5 342.36
42 1982 6 341.49
43 1982 7 339.75
44 1982 8 338.11
45 1982 9 338.16
46 1982 10 339.62
47 1982 11 340.95
48 1982 12 341.77
49 1983 1 342.37
50 1983 2 342.74
51 1983 3 343.04
52 1983 4 343.51
53 1983 5 343.84
54 1983 6 343.5
55 1983 7 342.14
56 1983 8 340.62
57 1983 9 340.53
58 1983 10 341.75
59 1983 11 342.83
60 1983 12 343.49
61 1984 1 344.32
62 1984 2 344.82
63 1984 3 344.96
64 1984 4 345.19
65 1984 5 345.33
66 1984 6 344.57
67 1984 7 343.2
68 1984 8 342.21
69 1984 9 342.13
70 1984 10 342.99
71 1984 11 344.16
72 1984 12 345
73 1985 1 345.35
74 1985 2 345.8
75 1985 3 346.64
76 1985 4 346.94
77 1985 5 346.78
78 1985 6 346.26
79 1985 7 344.92
80 1985 8 343.41
81 1985 9 343.37
82 1985 10 344.64
83 1985 11 345.79
84 1985 12 346.55
85 1986 1 347.11
86 1986 2 347.34
87 1986 3 347.71
88 1986 4 348.22
89 1986 5 348.32
90 1986 6 347.76
91 1986 7 346.29
92 1986 8 344.92
93 1986 9 344.86
94 1986 10 346.03
95 1986 11 347.3
96 1986 12 347.76
97 1987 1 348.02
98 1987 2 348.57
99 1987 3 349.29
100 1987 4 349.98
101 1987 5 350.26
102 1987 6 349.48
103 1987 7 347.86
104 1987 8 346.61
105 1987 9 346.7
106 1987 10 347.97
107 1987 11 349.25
108 1987 12 350.21
109 1988 1 350.91
110 1988 2 351.47
111 1988 3 351.85
112 1988 4 352.3
113 1988 5 352.46
114 1988 6 351.76
115 1988 7 350.28
116 1988 8 349.1
117 1988 9 349.27
118 1988 10 350.44
119 1988 11 351.61
120 1988 12 352.46
121 1989 1 352.99
122 1989 2 353.46
123 1989 3 354
124 1989 4 354.38
125 1989 5 354.19
126 1989 6 353.26
127 1989 7 351.56
128 1989 8 350.21
129 1989 9 350.56
130 1989 10 351.85
131 1989 11 353.04
132 1989 12 353.91
133 1990 1 354.46
134 1990 2 354.87
135 1990 3 355.2
136 1990 4 355.5
137 1990 5 355.4
138 1990 6 354.33
139 1990 7 352.71
140 1990 8 351.59
141 1990 9 351.8
142 1990 10 353.19
143 1990 11 354.43
144 1990 12 355.18
145 1991 1 355.76
146 1991 2 356.19
147 1991 3 356.68
148 1991 4 357.19
149 1991 5 357.11
150 1991 6 356.17
151 1991 7 354.53
152 1991 8 353.05
153 1991 9 352.93
154 1991 10 354
155 1991 11 355.16
156 1991 12 355.95
157 1992 1 356.52
158 1992 2 356.89
159 1992 3 357.26
160 1992 4 357.75
161 1992 5 357.82
162 1992 6 356.87
163 1992 7 355.19
164 1992 8 353.68
165 1992 9 353.58
166 1992 10 354.8
167 1992 11 355.98
168 1992 12 356.74
169 1993 1 357.21
170 1993 2 357.55
171 1993 3 357.96
172 1993 4 358.43
173 1993 5 358.38
174 1993 6 357.34
175 1993 7 355.72
176 1993 8 354.44
177 1993 9 354.47
178 1993 10 355.7
179 1993 11 356.95
180 1993 12 357.85
181 1994 1 358.47
182 1994 2 359.01
183 1994 3 359.36
184 1994 4 359.71
185 1994 5 359.74
186 1994 6 358.81
187 1994 7 357.27
188 1994 8 356.05
189 1994 9 356.02
190 1994 10 357.26
191 1994 11 358.69
192 1994 12 359.55
193 1995 1 360.13
194 1995 2 360.61
195 1995 3 361.08
196 1995 4 361.55
197 1995 5 361.47
198 1995 6 360.61
199 1995 7 358.99
200 1995 8 357.73
201 1995 9 358.05
202 1995 10 359.42
203 1995 11 360.77
204 1995 12 361.65
205 1996 1 362.14
206 1996 2 362.5
207 1996 3 362.82
208 1996 4 363.14
209 1996 5 363.29
210 1996 6 362.88
211 1996 7 361.57
212 1996 8 360.07
213 1996 9 359.7
214 1996 10 360.67
215 1996 11 361.78
216 1996 12 362.63
217 1997 1 363.28
218 1997 2 363.65
219 1997 3 364.03
220 1997 4 364.51
221 1997 5 364.51
222 1997 6 363.6
223 1997 7 361.93
224 1997 8 360.41
225 1997 9 360.41
226 1997 10 361.94
227 1997 11 363.61
228 1997 12 364.68
229 1998 1 365.19
230 1998 2 365.46
231 1998 3 365.93
232 1998 4 366.58
233 1998 5 366.86
234 1998 6 366.27
235 1998 7 364.84
236 1998 8 363.79
237 1998 9 364.04
238 1998 10 365.34
239 1998 11 366.6
240 1998 12 367.47
241 1999 1 368.12
242 1999 2 368.52
243 1999 3 368.91
244 1999 4 369.3
245 1999 5 369.21
246 1999 6 368.36
247 1999 7 366.69
248 1999 8 365.32
249 1999 9 365.44
250 1999 10 366.75
251 1999 11 368.05
252 1999 12 368.88
253 2000 1 369.39
254 2000 2 369.65
255 2000 3 369.97
256 2000 4 370.35
257 2000 5 370.24
258 2000 6 369.31
259 2000 7 367.91
260 2000 8 366.76
261 2000 9 366.71
262 2000 10 367.91
263 2000 11 369.28
264 2000 12 370.1
265 2001 1 370.69
266 2001 2 371.18
267 2001 3 371.59
268 2001 4 371.9
269 2001 5 371.8
270 2001 6 370.85
271 2001 7 369.46
272 2001 8 368.32
273 2001 9 368.36
274 2001 10 369.71
275 2001 11 371.05
276 2001 12 371.97
277 2002 1 372.51
278 2002 2 372.91
279 2002 3 373.38
280 2002 4 373.72
281 2002 5 373.71
282 2002 6 372.84
283 2002 7 371.41
284 2002 8 370.37
285 2002 9 370.69
286 2002 10 371.96
287 2002 11 373.29
288 2002 12 374.26
289 2003 1 374.94
290 2003 2 375.47
291 2003 3 375.92
292 2003 4 376.4
293 2003 5 376.55
294 2003 6 375.72
295 2003 7 374.17
296 2003 8 372.94
297 2003 9 373.11
298 2003 10 374.39
299 2003 11 375.67
300 2003 12 376.53
301 2004 1 377.21
302 2004 2 377.73
303 2004 3 378.16
304 2004 4 378.48
305 2004 5 378.4
306 2004 6 377.51
307 2004 7 375.96
308 2004 8 374.49
309 2004 9 374.39
310 2004 10 375.73
311 2004 11 377.2
312 2004 12 378.17
313 2005 1 378.73
314 2005 2 379.27
315 2005 3 379.87
316 2005 4 380.32
317 2005 5 380.42
318 2005 6 379.6
319 2005 7 377.94
320 2005 8 376.73
321 2005 9 376.76
322 2005 10 378.07
323 2005 11 379.53
324 2005 12 380.53
325 2006 1 381.33
326 2006 2 381.95
327 2006 3 382.34
328 2006 4 382.67
329 2006 5 382.63
330 2006 6 381.76
331 2006 7 380.07
332 2006 8 378.49
333 2006 9 378.63
334 2006 10 380.08
335 2006 11 381.44
336 2006 12 382.39
337 2007 1 383.03
338 2007 2 383.55
339 2007 3 384.02
340 2007 4 384.28
341 2007 5 384.13
342 2007 6 383.26
343 2007 7 381.55
344 2007 8 380.29
345 2007 9 380.68
346 2007 10 382.1
347 2007 11 383.45
348 2007 12 384.46
349 2008 1 385.23
350 2008 2 385.74
351 2008 3 386.15
352 2008 4 386.53
353 2008 5 386.49
354 2008 6 385.58
355 2008 7 384.1
356 2008 8 382.77
357 2008 9 382.54
358 2008 10 383.67
359 2008 11 385.18
360 2008 12 386.27
361 2009 1 387.03
362 2009 2 387.48
363 2009 3 387.71
364 2009 4 387.99
365 2009 5 387.95
366 2009 6 386.96
367 2009 7 385.01
368 2009 8 383.63
369 2009 9 383.93
370 2009 10 385.5
371 2009 11 386.94
372 2009 12 387.84
373 2010 1 388.62
374 2010 2 389.33
375 2010 3 389.68
376 2010 4 389.98
377 2010 5 389.95
378 2010 6 389.01
379 2010 7 387.35
380 2010 8 386.23
381 2010 9 386.7
382 2010 10 388.25
383 2010 11 389.62
384 2010 12 390.36
385 2011 1 390.93
386 2011 2 391.35
387 2011 3 391.67
388 2011 4 392.05
389 2011 5 392.07
390 2011 6 391.13
391 2011 7 389.19
392 2011 8 387.86
393 2011 9 388.26
394 2011 10 389.83
395 2011 11 391.2
396 2011 12 392.04
