"Date.Time","Year","Month","Day","Time","Temp"
"2003-01-01 00:00",2003,1,1,"00:00",0.3
"2003-01-01 01:00",2003,1,1,"01:00",0.2
"2003-01-01 02:00",2003,1,1,"02:00",0.1
"2003-01-01 03:00",2003,1,1,"03:00",0.1
"2003-01-01 04:00",2003,1,1,"04:00",-0.8
"2003-01-01 05:00",2003,1,1,"05:00",-1.4
"2003-01-01 06:00",2003,1,1,"06:00",-1
"2003-01-01 07:00",2003,1,1,"07:00",-1.1
"2003-01-01 08:00",2003,1,1,"08:00",-1.2
"2003-01-01 09:00",2003,1,1,"09:00",-1.1
"2003-01-01 10:00",2003,1,1,"10:00",-0.9
"2003-01-01 11:00",2003,1,1,"11:00",-1.1
"2003-01-01 12:00",2003,1,1,"12:00",-0.9
"2003-01-01 13:00",2003,1,1,"13:00",-1.1
"2003-01-01 14:00",2003,1,1,"14:00",-0.8
"2003-01-01 15:00",2003,1,1,"15:00",-0.9
"2003-01-01 16:00",2003,1,1,"16:00",-1.2
"2003-01-01 17:00",2003,1,1,"17:00",-1.7
"2003-01-01 18:00",2003,1,1,"18:00",-2.1
"2003-01-01 19:00",2003,1,1,"19:00",-2.8
"2003-01-01 20:00",2003,1,1,"20:00",-3.5
"2003-01-01 21:00",2003,1,1,"21:00",-4.7
"2003-01-01 22:00",2003,1,1,"22:00",-5.7
"2003-01-01 23:00",2003,1,1,"23:00",-6.6
"2003-01-02 00:00",2003,1,2,"00:00",-7.3
"2003-01-02 01:00",2003,1,2,"01:00",-7.7
"2003-01-02 02:00",2003,1,2,"02:00",-8.1
"2003-01-02 03:00",2003,1,2,"03:00",-8.9
"2003-01-02 04:00",2003,1,2,"04:00",-9.3
"2003-01-02 05:00",2003,1,2,"05:00",-9.6
"2003-01-02 06:00",2003,1,2,"06:00",-9.9
"2003-01-02 07:00",2003,1,2,"07:00",-10
"2003-01-02 08:00",2003,1,2,"08:00",-10
"2003-01-02 09:00",2003,1,2,"09:00",-9.8
"2003-01-02 10:00",2003,1,2,"10:00",-9.4
"2003-01-02 11:00",2003,1,2,"11:00",-8.8
"2003-01-02 12:00",2003,1,2,"12:00",-8
"2003-01-02 13:00",2003,1,2,"13:00",-7.3
"2003-01-02 14:00",2003,1,2,"14:00",-6.6
"2003-01-02 15:00",2003,1,2,"15:00",-6.4
"2003-01-02 16:00",2003,1,2,"16:00",-6.1
"2003-01-02 17:00",2003,1,2,"17:00",-5.8
"2003-01-02 18:00",2003,1,2,"18:00",-5.6
"2003-01-02 19:00",2003,1,2,"19:00",-5.7
"2003-01-02 20:00",2003,1,2,"20:00",-5.8
"2003-01-02 21:00",2003,1,2,"21:00",-7.2
"2003-01-02 22:00",2003,1,2,"22:00",-7.6
"2003-01-02 23:00",2003,1,2,"23:00",-7.3
"2003-01-03 00:00",2003,1,3,"00:00",-6.9
"2003-01-03 01:00",2003,1,3,"01:00",-6.6
"2003-01-03 02:00",2003,1,3,"02:00",-6.1
"2003-01-03 03:00",2003,1,3,"03:00",-4.5
"2003-01-03 04:00",2003,1,3,"04:00",-4.4
"2003-01-03 05:00",2003,1,3,"05:00",-3.9
"2003-01-03 06:00",2003,1,3,"06:00",-1.5
"2003-01-03 07:00",2003,1,3,"07:00",-1.2
"2003-01-03 08:00",2003,1,3,"08:00",-1
"2003-01-03 09:00",2003,1,3,"09:00",-0.8
"2003-01-03 10:00",2003,1,3,"10:00",-0.4
"2003-01-03 11:00",2003,1,3,"11:00",-0.4
"2003-01-03 12:00",2003,1,3,"12:00",-0.3
"2003-01-03 13:00",2003,1,3,"13:00",-0.2
"2003-01-03 14:00",2003,1,3,"14:00",-0.1
"2003-01-03 15:00",2003,1,3,"15:00",-0.1
"2003-01-03 16:00",2003,1,3,"16:00",0
"2003-01-03 17:00",2003,1,3,"17:00",-0.4
"2003-01-03 18:00",2003,1,3,"18:00",-0.2
"2003-01-03 19:00",2003,1,3,"19:00",-0.3
"2003-01-03 20:00",2003,1,3,"20:00",-2
"2003-01-03 21:00",2003,1,3,"21:00",-2.4
"2003-01-03 22:00",2003,1,3,"22:00",-2.7
"2003-01-03 23:00",2003,1,3,"23:00",-2.8
"2003-01-04 00:00",2003,1,4,"00:00",-2.8
"2003-01-04 01:00",2003,1,4,"01:00",-3.1
"2003-01-04 02:00",2003,1,4,"02:00",-3.2
"2003-01-04 03:00",2003,1,4,"03:00",-3.3
"2003-01-04 04:00",2003,1,4,"04:00",-3.8
"2003-01-04 05:00",2003,1,4,"05:00",-4.2
"2003-01-04 06:00",2003,1,4,"06:00",-4.3
"2003-01-04 07:00",2003,1,4,"07:00",-4.3
"2003-01-04 08:00",2003,1,4,"08:00",-4.2
"2003-01-04 09:00",2003,1,4,"09:00",-3.9
"2003-01-04 10:00",2003,1,4,"10:00",-3.9
"2003-01-04 11:00",2003,1,4,"11:00",-3.2
"2003-01-04 12:00",2003,1,4,"12:00",-2.5
"2003-01-04 13:00",2003,1,4,"13:00",-2.1
"2003-01-04 14:00",2003,1,4,"14:00",-2
"2003-01-04 15:00",2003,1,4,"15:00",-1.9
"2003-01-04 16:00",2003,1,4,"16:00",-1.9
"2003-01-04 17:00",2003,1,4,"17:00",-2
"2003-01-04 18:00",2003,1,4,"18:00",-1.9
"2003-01-04 19:00",2003,1,4,"19:00",-1.7
"2003-01-04 20:00",2003,1,4,"20:00",-1.7
"2003-01-04 21:00",2003,1,4,"21:00",-2.3
